provincia,cantón,área_de_residencia,asiste_actualmente_a_la_educación_regular_o_formal?,numero_total_de_personas,ninguno,centro_de_desarrollo_infantil/creciendo_con_nuestros_hijos/guardería,número_total_de_personas_que_asisten_o_asistieron_a_educación_inicial,número_total_de_personas_que_asisten_o_asistieron_a_alfabetización,número_total_de_personas_que_asisten_o_asistieron_a_educación_general_básica,número_total_de_personas_que_asisten_o_asistieron_a_bachillerato,número_total_de_personas_que_asisten_o_asistieron_a_ciclo_postbachillerato,número_total_de_personas_que_asisten_o_asistieron_a_educación_técnica_o_tecnológica,número_total_de_personas_que_asisten_o_asistieron_a_educación_superior,número_total_de_personas_que_asisten_o_asistieron_a_maestría/posgrado,número_total_de_personas_que_asisten_o_asistieron_a_phd/doctorado
CHIMBORAZO,Colta,Urbana,No asiste,1847,186.0,2.0,4.0,14.0,568,500,11.0,93.0,411.0,55.0,3.0
CHIMBORAZO,Colta,Rural,Asiste,7320,0.0,298.0,422.0,13.0,4009,1570,26.0,166.0,810.0,5.0,1.0
CHIMBORAZO,Colta,Rural,No asiste,20363,5713.0,57.0,138.0,1127.0,7649,4218,16.0,389.0,976.0,73.0,7.0
CHIMBORAZO,Chambo,Urbana,Asiste,1894,0.0,85.0,128.0,0.0,899,288,5.0,93.0,389.0,6.0,1.0
CHIMBORAZO,Chambo,Urbana,No asiste,3568,231.0,8.0,11.0,15.0,1094,1082,46.0,246.0,678.0,147.0,10.0
CHIMBORAZO,Chambo,Rural,Asiste,2734,0.0,114.0,196.0,3.0,1414,475,18.0,171.0,343.0,0.0,0.0
CHIMBORAZO,Chambo,Rural,No asiste,5235,779.0,21.0,18.0,70.0,2334,1374,36.0,209.0,319.0,66.0,9.0
CHIMBORAZO,Chunchi,Urbana,Asiste,1256,0.0,55.0,85.0,0.0,677,238,16.0,36.0,149.0,0.0,0.0
CHIMBORAZO,Chunchi,Urbana,No asiste,2543,312.0,12.0,3.0,18.0,886,816,19.0,62.0,346.0,66.0,3.0
CHIMBORAZO,Chunchi,Rural,Asiste,2176,0.0,123.0,134.0,4.0,1392,365,15.0,19.0,123.0,1.0,0.0
CHIMBORAZO,Chunchi,Rural,No asiste,4660,1058.0,28.0,27.0,89.0,2441,845,13.0,31.0,111.0,14.0,3.0
CHIMBORAZO,Guamote,Urbana,Asiste,1078,0.0,37.0,66.0,0.0,604,191,4.0,25.0,150.0,1.0,0.0
CHIMBORAZO,Guamote,Urbana,No asiste,1998,275.0,8.0,14.0,8.0,642,661,3.0,97.0,254.0,35.0,1.0
CHIMBORAZO,Guamote,Rural,Asiste,11381,0.0,647.0,646.0,15.0,6956,2416,22.0,85.0,591.0,3.0,0.0
CHIMBORAZO,Guamote,Rural,No asiste,21312,4930.0,116.0,150.0,1631.0,8934,5008,55.0,152.0,316.0,16.0,4.0
CHIMBORAZO,Guano,Urbana,Asiste,3039,0.0,80.0,205.0,2.0,1342,568,6.0,80.0,754.0,2.0,0.0
CHIMBORAZO,Guano,Urbana,No asiste,6097,467.0,11.0,18.0,9.0,2227,1631,32.0,274.0,1183.0,213.0,32.0
CHIMBORAZO,Guano,Rural,Asiste,13314,0.0,704.0,793.0,23.0,6765,2566,31.0,446.0,1970.0,15.0,1.0
CHIMBORAZO,Guano,Rural,No asiste,25877,3065.0,154.0,100.0,181.0,11388,6972,58.0,958.0,2392.0,559.0,50.0
CHIMBORAZO,Pallatanga,Urbana,Asiste,1428,0.0,53.0,79.0,4.0,807,276,10.0,34.0,164.0,1.0,0.0
CHIMBORAZO,Pallatanga,Urbana,No asiste,2838,414.0,25.0,9.0,13.0,1062,916,7.0,61.0,291.0,37.0,3.0
CHIMBORAZO,Pallatanga,Rural,Asiste,2371,0.0,112.0,116.0,2.0,1501,479,1.0,29.0,130.0,1.0,0.0
CHIMBORAZO,Pallatanga,Rural,No asiste,5159,990.0,54.0,15.0,163.0,2344,1329,13.0,42.0,181.0,28.0,0.0
CHIMBORAZO,Penipe,Urbana,Asiste,475,0.0,21.0,27.0,1.0,227,119,0.0,18.0,62.0,0.0,0.0
CHIMBORAZO,Penipe,Urbana,No asiste,942,155.0,2.0,2.0,1.0,304,295,2.0,21.0,135.0,24.0,1.0
CHIMBORAZO,Penipe,Rural,Asiste,1461,0.0,70.0,81.0,1.0,756,307,11.0,48.0,185.0,2.0,0.0
CHIMBORAZO,Penipe,Rural,No asiste,3870,399.0,14.0,9.0,21.0,1967,1030,8.0,103.0,273.0,38.0,8.0
CHIMBORAZO,Cumandá,Urbana,Asiste,3997,0.0,147.0,269.0,2.0,2246,775,5.0,39.0,512.0,2.0,0.0
CHIMBORAZO,Cumandá,Urbana,No asiste,7445,927.0,29.0,27.0,12.0,2232,3133,18.0,147.0,826.0,91.0,3.0
CHIMBORAZO,Cumandá,Rural,Asiste,1635,0.0,68.0,68.0,3.0,975,362,9.0,20.0,129.0,1.0,0.0
CHIMBORAZO,Cumandá,Rural,No asiste,3525,514.0,10.0,9.0,13.0,1533,1198,15.0,44.0,172.0,17.0,0.0
EL ORO,Machala,Urbana,Asiste,91785,0.0,4647.0,5535.0,28.0,46073,14909,303.0,1433.0,18722.0,124.0,11.0
EL ORO,Machala,Urbana,No asiste,196287,15448.0,849.0,538.0,164.0,57360,73575,965.0,4593.0,37594.0,4867.0,334.0
EL ORO,Machala,Rural,Asiste,5607,0.0,320.0,406.0,5.0,3118,959,13.0,97.0,686.0,1.0,2.0
EL ORO,Machala,Rural,No asiste,12630,1463.0,91.0,51.0,19.0,5528,4331,18.0,175.0,900.0,51.0,3.0
EL ORO,Arenillas,Urbana,Asiste,6982,0.0,376.0,450.0,0.0,3767,1228,6.0,110.0,1042.0,3.0,0.0
EL ORO,Arenillas,Urbana,No asiste,14542,1135.0,60.0,52.0,10.0,4928,5554,29.0,383.0,2158.0,225.0,8.0
EL ORO,Arenillas,Rural,Asiste,3156,0.0,243.0,209.0,1.0,1748,585,2.0,40.0,326.0,2.0,0.0
EL ORO,Arenillas,Rural,No asiste,7686,682.0,34.0,16.0,3.0,3753,2585,14.0,113.0,439.0,44.0,3.0
EL ORO,Atahualpa,Urbana,Asiste,552,0.0,25.0,54.0,0.0,267,83,2.0,7.0,113.0,1.0,0.0
EL ORO,Atahualpa,Urbana,No asiste,1217,64.0,6.0,2.0,0.0,446,433,6.0,18.0,217.0,23.0,2.0
EL ORO,Atahualpa,Rural,Asiste,1263,0.0,81.0,78.0,0.0,641,205,3.0,10.0,243.0,2.0,0.0
EL ORO,Atahualpa,Rural,No asiste,3080,188.0,22.0,10.0,3.0,1708,887,2.0,25.0,199.0,36.0,0.0
EL ORO,Balsas,Urbana,Asiste,1518,0.0,68.0,102.0,0.0,852,256,1.0,6.0,233.0,0.0,0.0
EL ORO,Balsas,Urbana,No asiste,2982,190.0,8.0,8.0,10.0,994,1277,6.0,31.0,420.0,34.0,4.0
EL ORO,Balsas,Rural,Asiste,1024,0.0,43.0,66.0,0.0,610,191,1.0,6.0,107.0,0.0,0.0
EL ORO,Balsas,Rural,No asiste,2351,188.0,8.0,7.0,2.0,1173,809,2.0,22.0,130.0,10.0,0.0
EL ORO,Chilla,Urbana,Asiste,305,0.0,15.0,10.0,0.0,155,47,0.0,3.0,75.0,0.0,0.0
EL ORO,Chilla,Urbana,No asiste,605,61.0,3.0,1.0,0.0,229,197,0.0,17.0,83.0,14.0,0.0
EL ORO,Chilla,Rural,Asiste,406,0.0,21.0,21.0,1.0,242,83,1.0,0.0,37.0,0.0,0.0
EL ORO,Chilla,Rural,No asiste,935,127.0,6.0,1.0,4.0,519,247,2.0,3.0,23.0,2.0,1.0
EL ORO,El Guabo,Urbana,Asiste,8286,0.0,262.0,566.0,1.0,4710,1374,22.0,174.0,1168.0,8.0,1.0
EL ORO,El Guabo,Urbana,No asiste,18349,2018.0,86.0,66.0,22.0,6393,6740,132.0,351.0,2335.0,199.0,7.0
EL ORO,El Guabo,Rural,Asiste,10310,0.0,569.0,693.0,10.0,6220,1717,46.0,111.0,942.0,2.0,0.0
EL ORO,El Guabo,Rural,No asiste,22591,2945.0,209.0,87.0,26.0,10076,7502,140.0,324.0,1201.0,79.0,2.0
EL ORO,Huaquillas,Urbana,Asiste,17854,0.0,991.0,1061.0,7.0,9998,3246,28.0,227.0,2284.0,10.0,2.0
EL ORO,Huaquillas,Urbana,No asiste,38167,3533.0,242.0,138.0,40.0,14012,15476,88.0,751.0,3551.0,320.0,16.0
EL ORO,Huaquillas,Rural,Asiste,42,0.0,2.0,4.0,0.0,22,6,0.0,0.0,8.0,0.0,0.0
EL ORO,Huaquillas,Rural,No asiste,240,23.0,0.0,1.0,0.0,139,69,0.0,1.0,6.0,1.0,0.0
EL ORO,Marcabelí,Urbana,Asiste,1546,0.0,77.0,110.0,1.0,841,269,4.0,12.0,232.0,0.0,0.0
EL ORO,Marcabelí,Urbana,No asiste,3427,290.0,11.0,15.0,3.0,1307,1272,4.0,49.0,401.0,75.0,0.0
EL ORO,Marcabelí,Rural,Asiste,534,0.0,24.0,40.0,0.0,302,92,0.0,1.0,75.0,0.0,0.0
EL ORO,Marcabelí,Rural,No asiste,1363,118.0,8.0,5.0,5.0,751,396,0.0,6.0,67.0,7.0,0.0
EL ORO,Pasaje,Urbana,Asiste,18819,0.0,903.0,1131.0,3.0,9689,3170,38.0,207.0,3654.0,23.0,1.0
EL ORO,Pasaje,Urbana,No asiste,41328,3389.0,162.0,111.0,66.0,13166,15620,124.0,937.0,6915.0,798.0,40.0
EL ORO,Pasaje,Rural,Asiste,7325,0.0,420.0,453.0,0.0,3860,1292,7.0,89.0,1202.0,2.0,0.0
EL ORO,Pasaje,Rural,No asiste,16125,1761.0,77.0,74.0,66.0,7093,5530,22.0,240.0,1179.0,76.0,7.0
EL ORO,Piñas,Urbana,Asiste,5594,0.0,246.0,370.0,0.0,2939,978,13.0,72.0,971.0,5.0,0.0
EL ORO,Piñas,Urbana,No asiste,12888,766.0,48.0,30.0,11.0,3963,4991,45.0,318.0,2325.0,370.0,21.0
EL ORO,Piñas,Rural,Asiste,2902,0.0,189.0,137.0,1.0,1630,514,0.0,20.0,411.0,0.0,0.0
EL ORO,Piñas,Rural,No asiste,8022,524.0,47.0,24.0,32.0,4471,2293,13.0,77.0,488.0,51.0,2.0
EL ORO,Portovelo,Urbana,Asiste,2932,0.0,199.0,224.0,0.0,1596,544,16.0,50.0,301.0,2.0,0.0
EL ORO,Portovelo,Urbana,No asiste,6832,527.0,39.0,17.0,3.0,2312,2945,65.0,143.0,682.0,94.0,5.0
EL ORO,Portovelo,Rural,Asiste,1026,0.0,59.0,63.0,1.0,600,200,4.0,9.0,89.0,1.0,0.0
EL ORO,Portovelo,Rural,No asiste,2766,268.0,9.0,3.0,24.0,1388,865,6.0,31.0,159.0,12.0,1.0
EL ORO,Santa Rosa,Urbana,Asiste,18077,0.0,1034.0,1168.0,4.0,9707,2961,52.0,265.0,2874.0,11.0,1.0
EL ORO,Santa Rosa,Urbana,No asiste,38765,3235.0,185.0,138.0,42.0,11935,14115,160.0,1101.0,7092.0,724.0,38.0
EL ORO,Santa Rosa,Rural,Asiste,7165,0.0,516.0,498.0,1.0,4027,1166,25.0,95.0,833.0,4.0,0.0
EL ORO,Santa Rosa,Rural,No asiste,16292,1488.0,81.0,51.0,32.0,7257,5423,59.0,318.0,1443.0,132.0,8.0
EL ORO,Zaruma,Urbana,Asiste,2790,0.0,95.0,158.0,1.0,1547,558,10.0,29.0,388.0,4.0,0.0
EL ORO,Zaruma,Urbana,No asiste,7215,460.0,40.0,12.0,7.0,2059,3113,17.0,146.0,1165.0,185.0,11.0
EL ORO,Zaruma,Rural,Asiste,4057,0.0,327.0,177.0,2.0,2283,738,5.0,31.0,490.0,3.0,1.0
EL ORO,Zaruma,Rural,No asiste,10312,958.0,98.0,20.0,89.0,5219,3052,17.0,93.0,642.0,119.0,5.0
EL ORO,Las Lajas,Urbana,Asiste,462,0.0,15.0,23.0,0.0,235,101,0.0,6.0,82.0,0.0,0.0
EL ORO,Las Lajas,Urbana,No asiste,1119,113.0,1.0,0.0,1.0,397,421,1.0,27.0,151.0,7.0,0.0
EL ORO,Las Lajas,Rural,Asiste,1157,0.0,68.0,92.0,0.0,637,173,1.0,8.0,178.0,0.0,0.0
EL ORO,Las Lajas,Rural,No asiste,3000,246.0,11.0,8.0,11.0,1478,990,5.0,34.0,196.0,20.0,1.0
ESMERALDAS,Esmeraldas,Urbana,Asiste,57739,0.0,1721.0,3654.0,10.0,30168,9216,227.0,1160.0,11516.0,59.0,8.0
ESMERALDAS,Esmeraldas,Urbana,No asiste,97748,10821.0,330.0,254.0,62.0,21311,37258,351.0,2337.0,21667.0,3134.0,223.0
ESMERALDAS,Esmeraldas,Rural,Asiste,20858,0.0,708.0,1318.0,6.0,12474,3644,64.0,227.0,2405.0,11.0,1.0
ESMERALDAS,Esmeraldas,Rural,No asiste,35503,5973.0,187.0,140.0,62.0,12719,12061,70.0,386.0,3343.0,521.0,41.0
ESMERALDAS,Eloy Alfaro,Urbana,Asiste,1872,0.0,122.0,173.0,0.0,1010,372,4.0,21.0,169.0,1.0,0.0
ESMERALDAS,Eloy Alfaro,Urbana,No asiste,3084,460.0,43.0,20.0,3.0,912,1306,5.0,48.0,272.0,15.0,0.0
ESMERALDAS,Eloy Alfaro,Rural,Asiste,15050,0.0,875.0,848.0,13.0,9504,2917,59.0,75.0,757.0,2.0,0.0
ESMERALDAS,Eloy Alfaro,Rural,No asiste,26299,5856.0,282.0,120.0,58.0,10224,8427,72.0,208.0,983.0,69.0,0.0
ESMERALDAS,Muisne,Urbana,Asiste,1798,0.0,99.0,144.0,0.0,1076,315,8.0,22.0,133.0,1.0,0.0
ESMERALDAS,Muisne,Urbana,No asiste,3776,526.0,33.0,16.0,3.0,1343,1429,10.0,29.0,354.0,32.0,1.0
ESMERALDAS,Muisne,Rural,Asiste,10505,0.0,402.0,673.0,10.0,7067,1776,20.0,33.0,523.0,1.0,0.0
ESMERALDAS,Muisne,Rural,No asiste,20347,4231.0,138.0,91.0,17.0,9027,6098,41.0,73.0,595.0,35.0,1.0
ESMERALDAS,Quinindé,Urbana,Asiste,11037,0.0,616.0,610.0,0.0,5985,2039,24.0,226.0,1527.0,9.0,1.0
ESMERALDAS,Quinindé,Urbana,No asiste,20083,2481.0,156.0,103.0,18.0,5700,8283,118.0,406.0,2448.0,352.0,18.0
ESMERALDAS,Quinindé,Rural,Asiste,30626,0.0,1190.0,1409.0,11.0,19643,5700,69.0,268.0,2322.0,13.0,1.0
ESMERALDAS,Quinindé,Rural,No asiste,65095,11826.0,198.0,273.0,128.0,28764,20557,235.0,479.0,2349.0,270.0,16.0
ESMERALDAS,San Lorenzo,Urbana,Asiste,10714,0.0,533.0,801.0,16.0,6428,2096,31.0,159.0,644.0,6.0,0.0
ESMERALDAS,San Lorenzo,Urbana,No asiste,17777,2857.0,260.0,84.0,46.0,4933,7037,39.0,649.0,1687.0,172.0,13.0
ESMERALDAS,San Lorenzo,Rural,Asiste,7425,0.0,468.0,498.0,15.0,4756,1314,5.0,77.0,288.0,4.0,0.0
ESMERALDAS,San Lorenzo,Rural,No asiste,12475,3091.0,112.0,75.0,20.0,4567,4077,12.0,169.0,310.0,38.0,4.0
ESMERALDAS,Atacames,Urbana,Asiste,7348,0.0,413.0,531.0,0.0,4481,1269,14.0,65.0,574.0,1.0,0.0
ESMERALDAS,Atacames,Urbana,No asiste,11600,1640.0,85.0,54.0,1.0,3850,4674,22.0,112.0,1057.0,93.0,12.0
ESMERALDAS,Atacames,Rural,Asiste,11768,0.0,526.0,819.0,4.0,7179,2146,30.0,81.0,981.0,2.0,0.0
ESMERALDAS,Atacames,Rural,No asiste,20488,3503.0,119.0,83.0,32.0,7857,7109,42.0,169.0,1379.0,182.0,13.0
ESMERALDAS,Rioverde,Urbana,Asiste,1457,0.0,106.0,106.0,3.0,872,244,2.0,18.0,105.0,1.0,0.0
ESMERALDAS,Rioverde,Urbana,No asiste,2553,363.0,27.0,11.0,2.0,944,994,2.0,26.0,161.0,17.0,6.0
ESMERALDAS,Rioverde,Rural,Asiste,9875,0.0,682.0,597.0,10.0,6472,1570,22.0,40.0,475.0,5.0,2.0
ESMERALDAS,Rioverde,Rural,No asiste,19000,3195.0,142.0,83.0,45.0,9469,5192,87.0,91.0,659.0,30.0,7.0
GUAYAS,Guayaquil,Urbana,Asiste,841613,0.0,24867.0,45122.0,190.0,426432,137205,2513.0,17196.0,187039.0,973.0,76.0
GUAYAS,Guayaquil,Urbana,No asiste,1808675,169038.0,3915.0,4427.0,1303.0,506660,712607,9501.0,42116.0,316444.0,39837.0,2827.0
GUAYAS,Guayaquil,Rural,Asiste,31009,0.0,1721.0,1909.0,17.0,18708,5086,60.0,344.0,3158.0,6.0,0.0
GUAYAS,Guayaquil,Rural,No asiste,65106,9503.0,283.0,255.0,161.0,29723,21585,107.0,654.0,2589.0,235.0,11.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Urbana,Asiste,1714,0.0,58.0,113.0,0.0,895,312,2.0,24.0,310.0,0.0,0.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Urbana,No asiste,4321,532.0,13.0,11.0,1.0,1462,1715,7.0,100.0,432.0,45.0,3.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Rural,Asiste,5135,0.0,81.0,270.0,2.0,3369,943,16.0,31.0,423.0,0.0,0.0
GUAYAS,Alfredo Baquerizo Moreno (Juján),Rural,No asiste,14356,2506.0,17.0,72.0,35.0,6755,4296,74.0,92.0,474.0,35.0,0.0
GUAYAS,Balao,Urbana,Asiste,4355,0.0,252.0,302.0,0.0,2526,720,1.0,34.0,520.0,0.0,0.0
GUAYAS,Balao,Urbana,No asiste,8495,1032.0,58.0,30.0,21.0,3922,2886,6.0,59.0,434.0,45.0,2.0
GUAYAS,Balao,Rural,Asiste,3907,0.0,173.0,229.0,2.0,2425,651,8.0,25.0,394.0,0.0,0.0
GUAYAS,Balao,Rural,No asiste,8898,1357.0,36.0,43.0,16.0,4497,2593,12.0,58.0,263.0,23.0,0.0
GUAYAS,Balzar,Urbana,Asiste,10804,0.0,607.0,588.0,0.0,6500,1887,35.0,90.0,1096.0,1.0,0.0
GUAYAS,Balzar,Urbana,No asiste,21940,3493.0,208.0,100.0,102.0,7865,8071,51.0,296.0,1566.0,185.0,3.0
GUAYAS,Balzar,Rural,Asiste,7416,0.0,532.0,333.0,1.0,4814,1356,12.0,46.0,322.0,0.0,0.0
GUAYAS,Balzar,Rural,No asiste,17669,3168.0,141.0,82.0,183.0,9101,4553,47.0,70.0,297.0,23.0,4.0
GUAYAS,Colimes,Urbana,Asiste,2631,0.0,178.0,130.0,3.0,1537,411,8.0,28.0,335.0,1.0,0.0
GUAYAS,Colimes,Urbana,No asiste,4988,652.0,48.0,18.0,8.0,2066,1772,9.0,66.0,317.0,30.0,2.0
GUAYAS,Colimes,Rural,Asiste,5318,0.0,472.0,229.0,6.0,3419,886,11.0,49.0,246.0,0.0,0.0
GUAYAS,Colimes,Rural,No asiste,13314,2448.0,138.0,38.0,64.0,7394,2910,23.0,82.0,205.0,12.0,0.0
GUAYAS,Daule,Urbana,Asiste,53141,0.0,896.0,3239.0,9.0,26905,8141,129.0,1358.0,12250.0,185.0,29.0
GUAYAS,Daule,Urbana,No asiste,108357,9436.0,204.0,257.0,80.0,16110,28709,559.0,4757.0,37568.0,10086.0,591.0
GUAYAS,Daule,Rural,Asiste,16904,0.0,870.0,935.0,2.0,10426,3152,32.0,264.0,1222.0,1.0,0.0
GUAYAS,Daule,Rural,No asiste,44044,6727.0,157.0,185.0,279.0,22788,11918,114.0,522.0,1208.0,139.0,7.0
GUAYAS,Durán,Urbana,Asiste,96672,0.0,2352.0,5447.0,22.0,51190,16409,322.0,1727.0,19105.0,94.0,4.0
GUAYAS,Durán,Urbana,No asiste,198539,21952.0,386.0,543.0,219.0,57899,82185,1062.0,4685.0,27156.0,2320.0,132.0
GUAYAS,Durán,Rural,Asiste,2788,0.0,128.0,190.0,0.0,1647,439,11.0,27.0,339.0,7.0,0.0
GUAYAS,Durán,Rural,No asiste,5911,957.0,8.0,30.0,20.0,2154,1572,30.0,92.0,880.0,165.0,3.0
GUAYAS,El Empalme,Urbana,Asiste,13709,0.0,555.0,761.0,3.0,8072,2362,47.0,108.0,1790.0,10.0,1.0
GUAYAS,El Empalme,Urbana,No asiste,28069,3962.0,107.0,73.0,100.0,10537,9859,56.0,212.0,2868.0,279.0,16.0
GUAYAS,El Empalme,Rural,Asiste,10847,0.0,474.0,547.0,2.0,7110,1860,27.0,80.0,742.0,4.0,1.0
GUAYAS,El Empalme,Rural,No asiste,27142,4736.0,82.0,76.0,134.0,14416,6733,51.0,100.0,765.0,48.0,1.0
GUAYAS,El Triunfo,Urbana,Asiste,13596,0.0,523.0,896.0,6.0,8175,2253,57.0,95.0,1582.0,9.0,0.0
GUAYAS,El Triunfo,Urbana,No asiste,27446,3946.0,150.0,136.0,60.0,10689,9407,251.0,340.0,2200.0,260.0,7.0
GUAYAS,El Triunfo,Rural,Asiste,5964,0.0,172.0,376.0,2.0,3889,1067,11.0,39.0,407.0,1.0,0.0
GUAYAS,El Triunfo,Rural,No asiste,13535,2297.0,33.0,49.0,25.0,6252,4127,44.0,87.0,566.0,53.0,2.0
GUAYAS,Milagro,Urbana,Asiste,51044,0.0,981.0,2571.0,22.0,26956,8262,236.0,379.0,11531.0,100.0,6.0
GUAYAS,Milagro,Urbana,No asiste,108926,13034.0,205.0,312.0,92.0,32821,39037,1041.0,1790.0,17593.0,2858.0,143.0
GUAYAS,Milagro,Rural,Asiste,11019,0.0,297.0,562.0,11.0,6473,1865,37.0,55.0,1714.0,5.0,0.0
GUAYAS,Milagro,Rural,No asiste,24954,3497.0,90.0,62.0,33.0,11419,7632,149.0,220.0,1675.0,168.0,9.0
GUAYAS,Naranjal,Urbana,Asiste,12537,0.0,293.0,808.0,0.0,7312,1981,25.0,126.0,1986.0,6.0,0.0
GUAYAS,Naranjal,Urbana,No asiste,26786,4062.0,71.0,99.0,32.0,10231,9336,183.0,401.0,2079.0,276.0,16.0
GUAYAS,Naranjal,Rural,Asiste,13686,0.0,391.0,815.0,0.0,8191,2305,21.0,53.0,1906.0,4.0,0.0
GUAYAS,Naranjal,Rural,No asiste,30682,5244.0,96.0,131.0,54.0,14690,9114,111.0,204.0,972.0,61.0,5.0
GUAYAS,Naranjito,Urbana,Asiste,11005,0.0,146.0,572.0,4.0,6291,1897,33.0,55.0,1994.0,13.0,0.0
GUAYAS,Naranjito,Urbana,No asiste,23659,3522.0,41.0,68.0,95.0,8928,8257,97.0,289.0,2102.0,256.0,4.0
GUAYAS,Naranjito,Rural,Asiste,2684,0.0,6.0,109.0,0.0,1775,534,8.0,6.0,245.0,1.0,0.0
GUAYAS,Naranjito,Rural,No asiste,6821,1081.0,2.0,19.0,20.0,3473,1945,3.0,36.0,222.0,19.0,1.0
GUAYAS,Palestina,Urbana,Asiste,3302,0.0,164.0,192.0,0.0,1796,548,2.0,63.0,537.0,0.0,0.0
GUAYAS,Palestina,Urbana,No asiste,7090,990.0,18.0,23.0,17.0,3039,2470,9.0,138.0,362.0,24.0,0.0
GUAYAS,Palestina,Rural,Asiste,2056,0.0,107.0,71.0,0.0,1359,368,2.0,22.0,127.0,0.0,0.0
GUAYAS,Palestina,Rural,No asiste,5571,1214.0,16.0,21.0,20.0,2830,1319,44.0,33.0,72.0,2.0,0.0
GUAYAS,Pedro Carbo,Urbana,Asiste,8590,0.0,575.0,449.0,2.0,4742,1427,41.0,144.0,1203.0,7.0,0.0
GUAYAS,Pedro Carbo,Urbana,No asiste,16292,2351.0,111.0,98.0,69.0,5678,5849,230.0,307.0,1434.0,160.0,5.0
GUAYAS,Pedro Carbo,Rural,Asiste,8583,0.0,773.0,447.0,11.0,5211,1492,18.0,77.0,549.0,4.0,1.0
GUAYAS,Pedro Carbo,Rural,No asiste,18712,3460.0,226.0,111.0,201.0,9335,4733,83.0,108.0,425.0,29.0,1.0
GUAYAS,Samborondón,Urbana,Asiste,21742,0.0,669.0,1174.0,4.0,8326,2916,36.0,152.0,8349.0,114.0,2.0
GUAYAS,Samborondón,Urbana,No asiste,50683,3369.0,69.0,88.0,17.0,13755,11632,214.0,1264.0,14800.0,4964.0,511.0
GUAYAS,Samborondón,Rural,Asiste,7825,0.0,541.0,481.0,2.0,4285,1368,10.0,62.0,1076.0,0.0,0.0
GUAYAS,Samborondón,Rural,No asiste,18290,2332.0,146.0,82.0,35.0,9043,5694,20.0,134.0,731.0,73.0,0.0
GUAYAS,Santa Lucía,Urbana,Asiste,3546,0.0,193.0,204.0,1.0,1989,635,8.0,104.0,410.0,2.0,0.0
GUAYAS,Santa Lucía,Urbana,No asiste,7378,882.0,31.0,13.0,19.0,2515,2896,9.0,268.0,662.0,82.0,1.0
GUAYAS,Santa Lucía,Rural,Asiste,9540,0.0,819.0,589.0,2.0,5738,1726,9.0,207.0,448.0,2.0,0.0
GUAYAS,Santa Lucía,Rural,No asiste,23236,3470.0,196.0,86.0,166.0,12101,6381,10.0,288.0,488.0,49.0,1.0
